text,label,source
"As a result, the media was free – free to try and guess what would please its audience the most.",0,checkthat-2025-task1-train
"But, again, I want to return.",0,verita-composite-ours-train
International Monetary Fund loans have been used for years to make interest payments to reckless lenders—a further $1.1 billion was released this week—while the debt has continued to grow.,1,checkthat-2025-task1-dev
We -- we think of their families and care for them deeply.,0,verita-composite-ours-train
That's why Social Security and Medicare are more important than ever.,0,verita-composite-ours-train
"The second topic, which is you said you get a deduction for taking a plant overseas.",0,verita-composite-ours-train
We've had to cut the budget in an emergency cut just in recent weeks.,1,verita-composite-ours-test
And we'll make whatever adjustment is necessary.,0,verita-composite-ours-train
"However, there is no scientific evidence that auras exist or that they can be seen by humans[^2^].",1,claimify
Such figures have the nous to defy humble origins and tangle with the big ideas of their day.,1,checkthat-2025-task1-dev
"Deforestation is a serious problem that threatens biodiversity, climate stability and human well-being.",0,claimify
"This includes adopting policies and practices that make it easier for people to access, understand, and use health information and services.",0,claimify
"By following these tips, you can become a more responsible and sustainable traveler who respects nature and culture.",0,claimify
"Let's offer students this experience, and help put them on a path to a great job.",0,verita-composite-ours-train
United States citizens don't get the level of benefits that Bidens policy would be looking to give illegal immigrants,1,verita-composite-ours-train
Now we're going back to when the mother's pregnant and they'll start right after they're born.,0,verita-composite-ours-train
"Holi is a festival of colours, joy and love that celebrates the arrival of spring and the victory of good over evil.",1,claimify
"This means that by the time we get to a final menu of perfectly decent ideas for reform, the material or community basis for the kind of movement that could drive these is no longer present.",1,checkthat-2025-task1-dev
"In 1939, a team of scientists at the University of Oxford, led by **Howard Florey** and **Ernst Chain**, began working on penicillin.",1,claimify
"- The first detection of an interstellar object, 'Oumuamua, in 2017[^1^], which was a mysterious cigar-shaped visitor from another star system.",1,claimify
Pregnant women are not more susceptible to COVID-19.,1,verita-composite-ours-train
"- The discovery of penicillin, the first antibiotic, by Alexander Fleming in 1928, which revolutionized medicine and saved millions of lives from bacterial infections.",1,claimify
"As we sit down, Andersson waves goodbye to Marin with a warm smile.",0,checkthat-2025-task1-test
Nearly $11 million specifically for that purpose.,1,verita-composite-ours-train
"The kinds of cases that fall at the end of pregnancy are often the most heartbreaking, painful decisions for families to make.",0,verita-composite-ours-train
I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot.,1,verita-composite-ours-train
"You see, I don't think we need to tax more and spend more, and then say that's going to make the problem better.",0,verita-composite-ours-train
"One example is the **Yupno people** of Papua New Guinea, who use **spatial metaphors** to think about time.",1,claimify
"A minister who is in civil rights or in the conservative movement, because he believes his faith instructs him to do that, I admire.",0,verita-composite-ours-train
"Mercury (aka thimerosal or thiomersal) is in vaccines and can damage the brain, gut, liver, bone marrow, nervous system, and kidneys. It is linked to autoimmune disorders, including autism.",1,verita-composite-ours-train
"On cooperative farms, meanwhile, brigadistas prepared organic planting beds manually due to the lack of tractors and fertiliser.",0,checkthat-2025-task1-test
"This competition is a highly positive development, as long as it is fair.",0,verita-composite-ours-train
"However, based on the web search results, some of the most frequently mentioned ones are:",0,claimify
Several of them even traveled to Europe in search of answers.,1,verita-composite-ours-train
"I think it's really up to all of us to demonstrate who we are and who our country is, and to stand up and be very clear about what we expect from our next president, how we want to bring our country together, where we don't want to have the kind of pitting of people one against the other, where instead we celebrate our diversity, we lift people up, and we make our country even greater.",0,verita-composite-ours-train
"If this were a spending contest, I would come in second.",0,verita-composite-ours-test
"In 1992, before I became President, the Congress passed the Cuba Democracy Act and I enforced it vigorously.",1,verita-composite-ours-train
My highest priority as Governor remains the same.,0,verita-composite-ours-train
"- The discovery of the oldest map in Europe[^2^], which dates back to about 2200 B.C.E.",1,claimify
- Make sure your environment is organized and free of clutter.,0,claimify
The nomination deadline is usually January 31st of the award year.,1,claimify
734 employees in our judicial system will be laid off and jury trials suspended indefinitely.,1,verita-composite-ours-train
He better not be or there's going to be a consequence should I be the president.,0,verita-composite-ours-train
"I believe, in other words, that we have seen the local communities and the state assuming more of that responsibility.",0,verita-composite-ours-train
"And, by the way, I want to go back a second.",0,verita-composite-ours-train
Soros and Clinton paid women to accuse Trump of sexual attacks.,1,verita-composite-ours-test
I hope we can succeed.,0,verita-composite-ours-train
She used painting as a way of coping with her pain and expressing her feelings[^4^] [^5^].,1,claimify
"And honestly, you ought to be ashamed of yourself.",0,verita-composite-ours-test
"Some of the historical events that have influenced French cuisine are the medieval feudal system, which created a distinction between the lavish banquets of the nobility and the simple fare of the peasants[^2^]; the French Revolution, which abolished the guilds and allowed more chefs to open their own restaurants[^2^]; and the Napoleonic wars, which introduced new ingredients and techniques from other European countries[^2^].",1,claimify
Your pre-tax contributions are deducted from your paycheck which lowers your adjusted gross income (AGI).,1,claimify
"And if they can't do it, if the Congress can't do it, let them then have to do it across the board.",0,verita-composite-ours-train
"But when these huge deficits went in place in 1981, what's called the real interest rates -- the spread between inflation and what a loan costs you doubled -- and that's still the case today.",1,verita-composite-ours-train
"Is he talking about a former Governor of the State of California, who is a former prosecutor, a Republican named Earl Warren, because I think Chief Justice Earl Warren was an outstanding Chief Justice and I think most Americans do too.",0,verita-composite-ours-train
The proteins trigger an immune response and teach your body how to fight off the real germ if you encounter it[^2^].,1,claimify
"[^4^] [^10^] Another way is to use tools and settings that allow users to control or modify their personalization preferences, such as turning off personalized ads, clearing their browsing history, or following accounts that offer different viewpoints.",1,claimify
I have never said that I object to nuclear waste.,1,verita-composite-ours-train
"Values begin at the top, in the White House.",0,verita-composite-ours-test
We cannot just say law and order.,0,verita-composite-ours-train
What I want America to do is to trade more but to compete and win by investing in competitive ways.,0,verita-composite-ours-train
"Instead, focus on delivering a simple and effective solution that solves their pain points.",0,claimify
"Well, John, I'm a man that's been a chief executive for ten years.",0,verita-composite-ours-test
